warehouse_id,port_id,cost_per_truck
verona,genoa,8700
verona,venice,3450
verona,ancona,10650
verona,naples,21450
verona,bari,24300
perugia,genoa,11400
perugia,venice,10200
perugia,ancona,4950
perugia,naples,11400
perugia,bari,18300
rome,genoa,15150
rome,venice,15900
rome,ancona,8550
rome,naples,6600
rome,bari,13500
pescara,genoa,19650
pescara,venice,13500
pescara,ancona,4650
pescara,naples,7200
pescara,bari,9450
taranto,genoa,30300
taranto,venice,25200
taranto,ancona,16500
taranto,naples,9150
taranto,bari,2850
lamezia,genoa,32160
lamezia,venice,32910
lamezia,ancona,22410
lamezia,naples,11160
lamezia,bari,9990
