option_id,type_id,is_match
J1,J,1
J1,SH,0
J1,GM,0
J1,BK,0
J1,CT,0
J2,J,1
J2,SH,0
J2,GM,0
J2,BK,0
J2,CT,0
J3,J,1
J3,SH,0
J3,GM,0
J3,BK,0
J3,CT,0
SH1,J,0
SH1,SH,1
SH1,GM,0
SH1,BK,0
SH1,CT,0
SH2,J,0
SH2,SH,1
SH2,GM,0
SH2,BK,0
SH2,CT,0
GM1,J,0
GM1,SH,0
GM1,GM,1
GM1,BK,0
GM1,CT,0
GM2,J,0
GM2,SH,0
GM2,GM,1
GM2,BK,0
GM2,CT,0
GM3,J,0
GM3,SH,0
GM3,GM,1
GM3,BK,0
GM3,CT,0
BK0,J,0
BK0,SH,0
BK0,GM,0
BK0,BK,1
BK0,CT,0
BK1,J,0
BK1,SH,0
BK1,GM,0
BK1,BK,1
BK1,CT,0
BK2,J,0
BK2,SH,0
BK2,GM,0
BK2,BK,1
BK2,CT,0
CT1,J,0
CT1,SH,0
CT1,GM,0
CT1,BK,0
CT1,CT,1
CT2,J,0
CT2,SH,0
CT2,GM,0
CT2,BK,0
CT2,CT,1
CT3,J,0
CT3,SH,0
CT3,GM,0
CT3,BK,0
CT3,CT,1
