plant_id,warehouse_id,tier_id,tier_lb,tier_ub,cost_per_unit
p1,w1,tier1,0.0,30.0,3.0
p1,w1,tier2,30.0,60.0,2.5
p1,w1,tier3,60.0,120.0,2.0
p1,w2,tier1,0.0,30.0,3.5
p1,w2,tier2,30.0,60.0,3.0
p1,w2,tier3,60.0,100.0,2.5
p2,w1,tier1,0.0,30.0,2.5
p2,w1,tier2,30.0,60.0,2.0
p2,w1,tier3,60.0,110.0,1.7
p2,w2,tier1,0.0,30.0,2.0
p2,w2,tier2,30.0,60.0,1.5
p2,w2,tier3,60.0,90.0,1.2
p2,w3,tier1,0.0,30.0,4.0
p2,w3,tier2,30.0,60.0,3.5
p2,w3,tier3,60.0,80.0,3.0
p3,w2,tier1,0.0,30.0,4.5
p3,w2,tier2,30.0,60.0,4.0
p3,w2,tier3,60.0,100.0,3.5
p3,w3,tier1,0.0,30.0,2.5
p3,w3,tier2,30.0,60.0,2.0
p3,w3,tier3,60.0,90.0,1.7
