warehouse_id,retailer_id,tier_id,tier_lb,tier_ub,cost_per_unit
w1,r1,tier1,0.0,30.0,2.0
w1,r1,tier2,30.0,60.0,1.5
w1,r1,tier3,60.0,80.0,1.2
w1,r2,tier1,0.0,30.0,2.5
w1,r2,tier2,30.0,60.0,2.0
w1,r2,tier3,60.0,90.0,1.7
w2,r2,tier1,0.0,30.0,1.5
w2,r2,tier2,30.0,60.0,1.0
w2,r2,tier3,60.0,70.0,0.8
w2,r3,tier1,0.0,30.0,3.0
w2,r3,tier2,30.0,60.0,2.5
w2,r3,tier3,60.0,80.0,2.0
w2,r4,tier1,0.0,30.0,2.0
w2,r4,tier2,30.0,60.0,1.5
w2,r4,tier3,60.0,80.0,1.2
w3,r3,tier1,0.0,30.0,2.0
w3,r3,tier2,30.0,60.0,1.5
w3,r3,tier3,60.0,90.0,1.2
w3,r4,tier1,0.0,30.0,2.5
w3,r4,tier2,30.0,60.0,2.0
w3,r4,tier3,60.0,80.0,1.7
