product_id,segment_id,tier_id,unit_revenue,demand_vol
pr1,seg1,t1,50,100
pr1,seg1,t2,40,150
pr1,seg1,t3,30,200
pr1,seg2,t1,45,80
pr1,seg2,t2,35,120
pr1,seg2,t3,25,160
pr1,seg3,t1,55,60
pr1,seg3,t2,45,90
pr1,seg3,t3,35,130
pr2,seg1,t1,60,70
pr2,seg1,t2,50,100
pr2,seg1,t3,40,140
pr2,seg2,t1,65,50
pr2,seg2,t2,55,75
pr2,seg2,t3,45,110
pr2,seg3,t1,55,60
pr2,seg3,t2,45,90
pr2,seg3,t3,35,120
pr3,seg1,t1,70,40
pr3,seg1,t2,60,60
pr3,seg1,t3,50,90
pr3,seg2,t1,75,30
pr3,seg2,t2,65,50
pr3,seg2,t3,55,80
pr3,seg3,t1,65,35
pr3,seg3,t2,55,55
pr3,seg3,t3,45,85
