component_id,product_id,bom_id,quantity
comp_1,prod_X,bom_1,1.0
comp_1,prod_X,bom_2,2.0
comp_1,prod_Y,bom_1,3.0
comp_1,prod_Y,bom_2,1.0
comp_1,prod_Z,bom_1,2.0
comp_1,prod_Z,bom_2,3.0
comp_2,prod_X,bom_1,1.0
comp_2,prod_X,bom_2,2.0
comp_2,prod_Y,bom_1,3.0
comp_2,prod_Y,bom_2,1.0
comp_2,prod_Z,bom_1,2.0
comp_2,prod_Z,bom_2,3.0
comp_3,prod_X,bom_1,1.0
comp_3,prod_X,bom_2,2.0
comp_3,prod_Y,bom_1,3.0
comp_3,prod_Y,bom_2,1.0
comp_3,prod_Z,bom_1,2.0
comp_3,prod_Z,bom_2,3.0
comp_4,prod_X,bom_1,1.0
comp_4,prod_X,bom_2,2.0
comp_4,prod_Y,bom_1,3.0
comp_4,prod_Y,bom_2,1.0
comp_4,prod_Z,bom_1,2.0
comp_4,prod_Z,bom_2,3.0
