customer_id,product_id,period_id,demand
c1,prod_A,t1,55.0
c1,prod_A,t2,60.0
c1,prod_A,t3,65.0
c1,prod_B,t1,70.0
c1,prod_B,t2,75.0
c1,prod_B,t3,80.0
c2,prod_A,t1,85.0
c2,prod_A,t2,90.0
c2,prod_A,t3,95.0
c2,prod_B,t1,100.0
c2,prod_B,t2,105.0
c2,prod_B,t3,110.0
c3,prod_A,t1,55.0
c3,prod_A,t2,60.0
c3,prod_A,t3,65.0
c3,prod_B,t1,70.0
c3,prod_B,t2,75.0
c3,prod_B,t3,80.0
c4,prod_A,t1,85.0
c4,prod_A,t2,90.0
c4,prod_A,t3,95.0
c4,prod_B,t1,100.0
c4,prod_B,t2,105.0
c4,prod_B,t3,110.0
