from_id,to_id,distance
depot,cust_1,5.0
depot,cust_2,8.0
depot,cust_3,10.0
depot,cust_4,12.0
depot,cust_5,14.0
cust_1,depot,15.0
cust_1,cust_2,18.0
cust_1,cust_3,20.0
cust_1,cust_4,22.0
cust_1,cust_5,25.0
cust_2,depot,5.0
cust_2,cust_1,8.0
cust_2,cust_3,10.0
cust_2,cust_4,12.0
cust_2,cust_5,14.0
cust_3,depot,15.0
cust_3,cust_1,18.0
cust_3,cust_2,20.0
cust_3,cust_4,22.0
cust_3,cust_5,25.0
cust_4,depot,5.0
cust_4,cust_1,8.0
cust_4,cust_2,10.0
cust_4,cust_3,12.0
cust_4,cust_5,14.0
cust_5,depot,15.0
cust_5,cust_1,18.0
cust_5,cust_2,20.0
cust_5,cust_3,22.0
cust_5,cust_4,25.0
